"titre","url","sous_titre","annee","mois","jour"
"Europe : quels économistes s’expriment dans Le Monde (suite) ? Toujours les banquiers !","https://www.acrimed.org/Europe-quels-economistes-s-expriment-dans-Le-Monde-suite-Toujours-les-banquiers","Mis en cause par une journaliste du Monde, nous avons affiné notre recherche et étendu notre (...)",2015,"juin","29"
"Un média populaire est-il possible ? L’expérience de Radio Lorraine Cœur d’acier","https://www.acrimed.org/Un-media-populaire-est-il-possible-L-experience-de-Radio-Lorraine-Coeur-d-acier","Un entretien avec l’historienne Ingrid Hayes.",2015,"juin","26"
"Aux États-Unis aussi, la définition médiatique du « terroriste » est à géométrie variable","https://www.acrimed.org/Aux-Etats-Unis-aussi-la-definition-mediatique-du-terroriste-est-a-geometrie","Pourquoi est-ce que des gens dont on ne sait rien sont plus susceptibles d’être appelés « (...)",2015,"juin","25"
"Grèce : la croisade d’Arnaud Leparmentier, vice-pape du Monde","https://www.acrimed.org/Grece-la-croisade-d-Arnaud-Leparmentier-vice-pape-du-Monde","L’austérité doit être appliquée, de gré ou de force.",2015,"juin","24"
"Sortie de Médiacritique(s) n°16 (juillet-septembre 2015)","https://www.acrimed.org/Sortie-de-Mediacritique-s-no16-juillet-septembre-2015","Le n°16 de Médiacritique(s), notre magazine trimestriel, vient de sortir de l’imprimerie.",2015,"juin","23"
"L’accueil du Dictionnaire amoureux du journalisme de Serge July : chef-d’œuvre marketing","https://www.acrimed.org/L-accueil-du-Dictionnaire-amoureux-du-journalisme-de-Serge-July-chef-d-oeuvre","Quand la parution d’un livre de Serge July à la gloire du journalisme et des journalistes est le (...)",2015,"juin","22"
"France Inter : entre-soi patronal sur le service public","https://www.acrimed.org/France-Inter-entre-soi-patronal-sur-le-service-public","Le téléphone a beau sonner, France Inter choisit prudemment de se mettre sur répondeur.",2015,"juin","18"
"Les Français et l’Union européenne : Le Figaro ne comprend pas son propre sondage","https://www.acrimed.org/Les-Francais-et-l-Union-europeenne-Le-Figaro-ne-comprend-pas-son-propre-sondage","Une enquête d’opinion dit tout et son contraire : une journaliste du Figaro choisit (...)",2015,"juin","16"
"Quels médias pour les classes populaires ?","https://www.acrimed.org/Quels-medias-pour-les-classes-populaires","Pourquoi les classes populaires se tournent-elles plus volontiers vers Le Parisien, TF1 ou (...)",2015,"juin","15"
"Le Magazine électronique n°155 (juin 2015)","https://www.acrimed.org/Le-Magazine-electronique-no155-juin-2015","Si vous ne parvenez pas à lire ce message correctement, cliquez ici. Sommaire 1. (...)",2015,"juin","11"
"Médias et classes populaires : quand le peuple a mauvaise presse","https://www.acrimed.org/Medias-et-classes-populaires-quand-le-peuple-a-mauvaise-presse","Article introductif du dossier du numéro 15 de notre trimestriel Médiacritique(s)",2015,"juin","11"
"Jeudi d’Acrimed : Quel projet pour une presse libre ? Avec Pierre Rimbert (11 juin)","https://www.acrimed.org/Jeudi-d-Acrimed-Quel-projet-pour-une-presse-libre-Avec-Pierre-Rimbert-11-juin","Alors que la presse écrite suffoque, que des titres quotidiens survivent grâce à des (...)",2015,"juin","10"
"Faire l’opinion : vidéo d’un Jeudi d’Acrimed avec Patrick Champagne","https://www.acrimed.org/Faire-l-opinion-video-d-un-Jeudi-d-Acrimed-avec-Patrick-Champagne","À l’occasion de la réédition de l’ouvrage Faire l’opinion. Le nouveau jeu politique.",2015,"juin","10"
"L’observatoire observé : quand Acrimed se regarde dans un miroir","https://www.acrimed.org/L-observatoire-observe-quand-Acrimed-se-regarde-dans-un-miroir","Retour sur cinq années de publications sur le site acrimed.org",2015,"juin","8"
"Filmographie - Des documentaires sur les médias et le journalisme (5) : de H à I","https://www.acrimed.org/Filmographie-Des-documentaires-sur-les-medias-et-le-journalisme-5-de-H-a-I","Plus précisément : de Hacktivistes : les agitateurs du net à Izbjeglicka televizija : la (...)",2015,"juin","5"
"En direct de n’importe quoi : Philippe Val et le journalisme","https://www.acrimed.org/En-direct-de-n-importe-quoi-Philippe-Val-et-le-journalisme","Ou : Quand le néant est enveloppé dans un tissu d’âneries et de mensonges.",2015,"juin","4"
"Colette Fellous, une experte en renvois d’ascenseur","https://www.acrimed.org/Colette-Fellous-une-experte-en-renvois-d-ascenseur","Comment transformer une émission du service public en club de copinages et de connivences (...)",2015,"juin","2"
"Le Parti socialiste et la question des médias : « Quand t’es dans le désert depuis trop longtemps »","https://www.acrimed.org/Le-Parti-socialiste-et-la-question-des-medias-Quand-t-es-dans-le-desert-depuis","Le vide sidéral.",2015,"juin","1er"
"10 ans après, retour sur le traitement médiatique du référendum sur le TCE","https://www.acrimed.org/10-ans-apres-retour-sur-le-traitement-mediatique-du-referendum-sur-le-TCE","Un traitement caricatural, duquel aucune leçon ne semble avoir été tirée.",2015,"mai","29"
"Projet pour une presse libre","https://www.acrimed.org/Projet-pour-une-presse-libre","« Soustraire les médias à l’emprise de l’argent et de l’État en créant un service mutualisé (...)",2015,"mai","28"
"Marianne réplique à Acrimed : du zénith aux abysses de la médiocrité","https://www.acrimed.org/Marianne-replique-a-Acrimed-du-zenith-aux-abysses-de-la-mediocrite","Quand Acrimed montre la lune, Marianne regarde le doigt.",2015,"mai","27"
"« Les complices de l’islamisme » : Marianne au zénith de la médiocrité journalistique","https://www.acrimed.org/Les-complices-de-l-islamisme-Marianne-au-zenith-de-la-mediocrite-journalistique","« Enquête » bâclée, approximations et manipulations.",2015,"mai","26"
"Près de 50 rédactions signent une Charte contre l’homophobie","https://www.acrimed.org/Pres-de-50-redactions-signent-une-Charte-contre-l-homophobie","Une initiative bienvenue.",2015,"mai","22"
"Lu : Sauver les médias, de Julia Cagé","https://www.acrimed.org/Lu-Sauver-les-medias-de-Julia-Cage","… qui propose « un nouveau modèle de gouvernance et de financement ».",2015,"mai","22"
"La Grèce vue par Libération : la ligne Bruxelles-Quatremer ne fait pas l’unanimité","https://www.acrimed.org/La-Grece-vue-par-Liberation-la-ligne-Bruxelles","Le porte-parole des institutions européennes contesté en interne ?",2015,"mai","21"
"« Le Supplément » de Canal Plus en treillis pour « informer » sur le Sahel","https://www.acrimed.org/Le-Supplement-de-Canal-Plus-en-treillis-pour-informer-sur-le-Sahel","Reportage ou propagande de guerre ?",2015,"mai","20"
"Le nouveau marathon promotionnel du très cultivé Philippe Val","https://www.acrimed.org/Le-nouveau-marathon-promotionnel-du-tres-cultive-Philippe-Val","Le ridicule de son dernier ouvrage ne prive pas l’ancien patron de presse de ses considérables (...)",2015,"mai","20"
"Les Prud’hommes sanctionnent l’abus de contrats précaires à Radio France","https://www.acrimed.org/Les-Prud-hommes-sanctionnent-l-abus-de-contrats-precaires-a-Radio-France","L’abus de contrats précaires à Radio France participe de la gestion ordinaire du groupe (...)",2015,"mai","19"
"L’édition laminée (entretien avec François Maspero)","https://www.acrimed.org/L-edition-laminee-entretien-avec-Francois-Maspero","Un entretien avec Bertrand Leclair, paru dans La Quizaine Littéraire en mars (...)",2015,"mai","19"
"Laurent Joffrin : copinages, connivences et renvois d’ascenseur","https://www.acrimed.org/Laurent-Joffrin-copinages-connivences-et-renvois-d-ascenseur","La petite entreprise de promotion du dernier « livre » de Laurent Joffrin ne connaît pas la (...)",2015,"mai","18"
"Sexisme au quotidien, un travail d’Équipe","https://www.acrimed.org/Sexisme-au-quotidien-un-travail-d-Equipe","Domination masculine : dans le journalisme sportif aussi.",2015,"mai","13"
"Le Monde montre à la Grèce la voie de la réforme","https://www.acrimed.org/Le-Monde-montre-a-la-Grece-la-voie-de-la-reforme","« Alexis Tsipras va devoir atterrir. » Et Le Monde ?",2015,"mai","12"
"La « banlieue » selon M6","https://www.acrimed.org/La-banlieue-selon-M6","Ou comment l’émission « Zone interdite » de M6 raconte la vie dans les quartiers (...)",2015,"mai","11"
"« Jeudi d’Acrimed » : Faire l’opinion, avec Patrick Champagne (21 mai)","https://www.acrimed.org/Jeudi-d-Acrimed-Faire-l-opinion-avec-Patrick-Champagne-21-mai","À l’occasion de la réédition de l’ouvrage Faire l’opinion. Le nouveau jeu politique, de Patrick (...)",2015,"mai","7"
"Quand les médias dominants parlent aux classes dominantes","https://www.acrimed.org/Quand-les-medias-dominants-parlent-aux-classes-dominantes","Les CSP+, dieu caché des médias patentés.",2015,"mai","5"
"Europe : quels économistes s’expriment dans Le Monde ? Les banquiers !","https://www.acrimed.org/Europe-quels-economistes-s-expriment-dans-Le-Monde-Les-banquiers","Pour parler de la zone euro, Le Monde convie des économistes de la banque et du CAC (...)",2015,"mai","4"
"Le baromètre « Confiance dans les médias » ou l’arroseur arrosé","https://www.acrimed.org/Le-barometre-Confiance-dans-les-medias-ou-l-arroseur-arrose","Annexe de la nouvelle édition, publiée en janvier 2015, de Faire l’opinion de Patrick (...)",2015,"avril","29"
"Michel Crépu : copinages, connivences et renvois d’ascenseur","https://www.acrimed.org/Michel-Crepu-copinages-connivences-et-renvois-d-ascenseur","Le dernier livre de Michel Crépu fait l’objet d’un accueil médiatique qui nous en apprend beaucoup (...)",2015,"avril","28"
"Elle : petite grammaire d’un contrôle social","https://www.acrimed.org/Elle-petite-grammaire-d-un-controle-social","Ou comment la grammaire, le lexique et le style véhiculent des normes sociales.",2015,"avril","27"
"Le Magazine électronique n°154 (avril 2015)","https://www.acrimed.org/Le-Magazine-electronique-no154-avril-2015","Si vous ne parvenez pas à lire ce message correctement, cliquez ici. Sommaire 1. Débats 2. Sur (...)",2015,"avril","23"
"Cadeau : Médiacritique(s), notre trimestriel imprimé, n°12 (juillet 2014) en .pdf","https://www.acrimed.org/Cadeau-Mediacritique-s-notre-trimestriel-imprime-no12-juillet-2014-en-pdf","Varia et jeux de l’été...",2015,"avril","23"
"L’art et la manière d’ignorer la question des médias","https://www.acrimed.org/L-art-et-la-maniere-d-ignorer-la-question-des-medias","Datant de 2007, une intervention de Serge Halimi qui n’a rien perdu de son actualité.",2015,"avril","22"
"Elkabbacheries (2) : Les suites de l’accueil réservé à Cécile Duflot par trois chiens de garde","https://www.acrimed.org/Elkabbacheries-2-Les-suites-de-l-accueil-reserve","Protestation auprès du CSA, rodomontades d’Elkabbach.",2015,"avril","21"
"« En direct avec les Français » sur TF1 : démocratisation ou dépolitisation des débats ?","https://www.acrimed.org/En-direct-avec-les-Francais-sur-TF1-democratisation-ou-depolitisation-des","« En direct avec les Français »… ou avec les journalistes français ?",2015,"avril","20"
"Faire l’opinion de Patrick Champagne : préface de la nouvelle édition","https://www.acrimed.org/Faire-l-opinion-de-Patrick-Champagne-preface-de-la-nouvelle-edition","Sondages et médiatisation de la politique : ce qu’ils sont devenus vingt-cinq ans (...)",2015,"avril","17"
"Critique des médias sur le Web (janvier-février-mars 2015)","https://www.acrimed.org/Critique-des-medias-sur-le-Web-janvier-fevrier-mars-2015","Où il est question de « Charlie » et ses suites, de sexisme, de racisme, et de diverses (...)",2015,"avril","16"
"Elkabbacheries (1) : Les aboiements de trois chiens de garde aux basques de Cécile Duflot","https://www.acrimed.org/Elkabbacheries-1-Les-aboiements-de-trois-chiens-de-garde-aux-basques-de-Cecile","… « accueillie » dans le chenil du « Grand rendez-vous » d’Europe 1.",2015,"avril","14"
"« Jeudi d’Acrimed » : Médias et extrêmes droites (16 avril 2015)","https://www.acrimed.org/Jeudi-d-Acrimed-Medias-et-extremes-droites-16-avril-2015","Avec Bernard Schmid (membre de VISA) et Ugo Palheta (membre de la rédaction d’Acrimed)",2015,"avril","13"
"« Pigistes de tous les pays, unissez-vous ! »","https://www.acrimed.org/Pigistes-de-tous-les-pays-unissez-vous","Un résumé alarmant de la situation des journalistes indépendants.",2015,"avril","13"
"Radio France : paroles de précaires","https://www.acrimed.org/Radio-France-paroles-de-precaires","… à France Bleu comme ailleurs",2015,"avril","11"
"Paroles de grévistes à Radio France","https://www.acrimed.org/Paroles-de-grevistes-a-Radio-France","« La qualité, c’est du temps. Ils voudraient que l’on fasse des choses belles plus rapidement (...)",2015,"avril","9"
"Grève de Radio France : Pascale Clark convalescente ?","https://www.acrimed.org/Greve-de-Radio-France-Pascale-Clark-convalescente","Une émission prometteuse ou accidentelle ?",2015,"avril","8"
"Quand l’Actu promeut le FN auprès des ados","https://www.acrimed.org/Quand-l-Actu-promeut-le-FN-aupres-des-ados","Expliquer ou promouvoir les idées d’extrême-droite ?",2015,"avril","8"
"Le « populisme » du FN : retour sur une invention médiatique","https://www.acrimed.org/Le-populisme-du-FN-retour-sur-une-invention-mediatique","Entretien avec Annie Collovald, professeure de sociologie a? l’Universite? de (...)",2015,"avril","2"
"Médiacritique(s) n°15 (avril-juin 2015) : « Médias et classes populaires »","https://www.acrimed.org/Mediacritique-s-no15-avril-juin-2015-Medias-et","« Médias et classes populaires »... et autres merveilles.",2015,"mars","31"
"Jérôme Garcin : copinages, connivences et renvois d’ascenseur (toujours)","https://www.acrimed.org/Jerome-Garcin-copinages-connivences-et-renvois-d-ascenseur-toujours","Comme toujours, le dernier livre de Jérôme Garcin est accueilli triomphalement par les obligés de (...)",2015,"mars","30"
"Michel Maffesoli, « expert » sociologique de pacotille","https://www.acrimed.org/Michel-Maffesoli-expert-sociologique-de-pacotille","Sociologue habitué des studios et des colonnes de la presse, Michel Maffesoli vient (une (...)",2015,"mars","27"
"Le FN par le petit bout de la lorgnette médiatique","https://www.acrimed.org/Le-FN-par-le-petit-bout-de-la-lorgnette-mediatique","Deux cas d’école qui illustrent la « banalisation » de l’extrême droite dans les grands (...)",2015,"mars","26"
"Comprendre la grève à Radio France (vidéo)","https://www.acrimed.org/Comprendre-la-greve-a-Radio-France-video","25 mars 2015 : septième jour de grève à Radio France.",2015,"mars","25"
"Agone : vingt-cinq ans de baston","https://www.acrimed.org/Agone-vingt-cinq-ans-de-baston","Retour sur l’histoire d’une maison d’édition alternative et militante.",2015,"mars","24"
"La dissidente Pascale Clark hébergée par Le « Petit Journal », refuge de tous les rebelles","https://www.acrimed.org/La-dissidente-Pascale-Clark-hebergee-par-Le-Petit-Journal-refuge-de-tous-les","De quoi le nombrilisme de Pascale Clark est-il le symptôme ?",2015,"mars","23"
"Pluralisme : l’expression de la pluralité des opinions dans l’audiovisuel","https://www.acrimed.org/Pluralisme-l-expression-de-la-pluralite-des-opinions-dans-l-audiovisuel","Comptes d’apothicaires ou pluralisme effectif ?",2015,"mars","20"
"L’Ifrap : think tank ultra-libéral à l’aise sur France 2, et ailleurs","https://www.acrimed.org/L-Ifrap-think-tank-ultra-liberal-a-l-aise-sur-France-2-et-ailleurs","Après bien d’autres médias, la télévision de service public reçoit très chaleureusement Agnès (...)",2015,"mars","19"
"Journée de la critique des médias : Quels rapports des syndicalistes avec les médias ?","https://www.acrimed.org/Journee-de-la-critique-des-medias-Quels-rapports-des-syndicalistes-avec-les","Par Nathalie Bonnet de SUD-Rail et Solidaires",2015,"mars","18"
"Charlie Hebdo et nous","https://www.acrimed.org/Charlie-Hebdo-et-nous","Retour sur les rapports d’Acrimed avec l’hebdomadaire satirique.",2015,"mars","17"
"Le Point face à l’islam","https://www.acrimed.org/Le-Point-face-a-l-islam","Un énième dossier « choc » qui parle des musulmans, mais duquel sont exclus… les (...)",2015,"mars","16"
"Cartes de presse : la rebellitude de Pascale Clark et Patrick Cohen","https://www.acrimed.org/Cartes-de-presse-la-rebellitude-de-Pascale-Clark","Une farce médiatique ? Pas seulement : une appropriation narcissique de l’antenne de France Inter (...)",2015,"mars","12"
"« Jeudi d’Acrimed » : La critique de cinéma entre crise et mutation, avec Michel Ciment et Alex Masson (12 mars)","https://www.acrimed.org/Jeudi-d-Acrimed-La-critique-de-cinema-entre-crise-et-mutation-avec-Michel","Critique de la critique de cinéma",2015,"mars","10"
"« Réinformation » et désinformation : l’extrême droite des médias en ligne","https://www.acrimed.org/Reinformation-et-desinformation-l-extreme-droite-des-medias-en-ligne","De purs et simples organes de propagande pour qui « réinformer » ne peut être que révéler ce que (...)",2015,"mars","10"
"Journée de la critique des médias : « Que fait la Justice ? La construction d’un discours médiatique »","https://www.acrimed.org/Journee-de-la-critique-des-medias-Que-fait-la-Justice-La-construction-d-un","Par Laurence Blisson, Secrétaire générale du Syndicat de la magistrature",2015,"mars","9"
"« Comment mon passage à l’émission Tous ensemble de TF1 m’a pourri la vie »","https://www.acrimed.org/Comment-mon-passage-a-l-emission-Tous-ensemble-de-TF1-m-a-pourri-la-vie","Du rêve au cauchemar.",2015,"mars","6"
"Journée de la critique des médias : « Nous avons des propositions »","https://www.acrimed.org/Journee-de-la-critique-des-medias-Nous-avons-des-propositions","… Pour une appropriation démocratique des médias, par Henri Maler",2015,"mars","5"
"« Pourquoi j’ai démissionné du Telegraph », par Peter Oborne","https://www.acrimed.org/Pourquoi-j-ai-demissionne-du-Telegraph-par-Peter-Oborne","Quand « l’affaire HSBC » révèle d’importants conflits d’intérêts au sein du Telegraph.",2015,"mars","4"
"Les Dassault fêtent la vente du Rafale","https://www.acrimed.org/Les-Dassault-fetent-la-vente-du-Rafale","Et leurs journalistes sont invités !",2015,"mars","3"
"Thréard, Rioufol, Zemmour : ces éditorialistes VRP du Front national","https://www.acrimed.org/Threard-Rioufol-Zemmour-ces-editorialistes-VRP-du-Front-national","Ils installent, banalisent, diffusent l’idéologie de l’entreprise Le Pen.",2015,"mars","2"
"Pluralisme : de quoi parle-t-on ?","https://www.acrimed.org/Pluralisme-de-quoi-parle-t-on","Clarifier les notions pour poser les problèmes et proposer des solutions.",2015,"mars","1er"
"Grèce : les rodomontades d’Éric Le Boucher contre Syriza","https://www.acrimed.org/Grece-les-rodomontades-d-Eric-Le-Boucher-contre-Syriza","Dans un article paru sur Slate.fr, l’éminent journaliste confond analyse politique et économique (...)",2015,"février","28"
"Cocktail de ménages pour Patrick Lelong de France info","https://www.acrimed.org/Cocktail-de-menages-pour-Patrick-Lelong-de-France-info","Se servir du service public ?",2015,"février","27"
"Le Magazine électronique n°153 (février 2015)","https://www.acrimed.org/Le-Magazine-electronique-no153-fevrier-2015","Si vous ne parvenez pas à lire ce message correctement, cliquez ici. Sommaire 1. Édito 2. (...)",2015,"février","26"
"Loi de modernisation du secteur de la presse : menaces sur l’AFP","https://www.acrimed.org/Loi-de-modernisation-du-secteur-de-la-presse-menaces-sur-l-AFP","… dont les citoyens, usagers des médias, auraient tort de se désintéresser.",2015,"février","26"
"René Revol (Parti de gauche) attaque Montpellier journal sur deux fronts judiciaires","https://www.acrimed.org/Rene-Revol-Parti-de-gauche-attaque-Montpellier-journal-sur-deux-fronts","Vous avez dit liberté de la presse ?",2015,"février","25"
"Attentats de Paris : le CSA rappelle à l’ordre, les médias hurlent à la mort","https://www.acrimed.org/Attentats-de-Paris-le-CSA-rappelle-a-l-ordre-les-medias-hurlent-a-la-mort","Quand on leur montre gentiment les erreurs qu’ils ont commises en couvrant les événements du mois (...)",2015,"février","25"
"Nicolas Barré, un bon « Samaritaine »… en service commandé pour son propriétaire","https://www.acrimed.org/Nicolas-Barre-un-bon-Samaritaine-en-service-commande-pour-son-proprietaire","La déontologie, un colosse aux pieds d’argile",2015,"février","23"
"Loi de modernisation du secteur de la presse : petits et grands méfaits du « pragmatisme »","https://www.acrimed.org/Loi-de-modernisation-du-secteur-de-la-presse-petits-et-grands-mefaits-du","Une loi fourre-tout qui mêle le pire et l’insuffisant.",2015,"février","17"
"Quand l’extrême-droite s’essaie à la critique des « merdias »","https://www.acrimed.org/Quand-l-extreme-droite-s-essaie-a-la-critique-des","Leur critique n’est pas la nôtre.",2015,"février","16"
"Lire : Éditocrates sous perfusion : les aides publiques à la presse, trente ans de gabegie, de Sébastien Fontenelle","https://www.acrimed.org/Lire-Editocrates-sous-perfusion-les-aides-publiques-a-la-presse-trente-ans-de","Une gabegie que rien ne saurait arrêter ?",2015,"février","13"
"Après les tueries de Paris, questionner le traitement médiatique des quartiers populaires","https://www.acrimed.org/Apres-les-tueries-de-Paris-questionner-le-traitement-mediatique-des-quartiers","« Des récits remplis de faussetés, de petites et grandes injustices »",2015,"février","11"
"Tribune : soutenir les kiosquiers","https://www.acrimed.org/Tribune-soutenir-les-kiosquiers","« La liberté de la presse est étroitement liée aux conditions de sa distribution (...)",2015,"février","9"
"Philippe Val a déjoué un complot : Acrimed gangrène la formation des journalistes !","https://www.acrimed.org/Philippe-Val-a-dejoue-un-complot-Acrimed-gangrene-la-formation-des-journalistes","L’Ayatollah en charge de la critique laïque des médias est de retour.",2015,"février","9"
"Journée de la critique des médias : « À quoi sert la critique des médias ? »","https://www.acrimed.org/Journee-de-la-critique-des-medias-A-quoi-sert-la-critique-des-medias","Un bilan, un combat - par Serge Halimi",2015,"février","6"
"Journée de la critique des médias : « De la responsabilité des journalistes »","https://www.acrimed.org/Journee-de-la-critique-des-medias-De-la-responsabilite-des-journalistes","Intervention lors de la table ronde « Des journalistes sous contraintes », par Mathias (...)",2015,"février","4"
"Reporterre censuré par France 24","https://www.acrimed.org/Reporterre-censure-par-France-24","« L’émission comprenant votre interview n’a pas été mise en ligne en raison des critiques que vous (...)",2015,"février","3"
"Bonne Journée !","https://www.acrimed.org/Bonne-Journee","Retour sur notre première Journée de la critique des médias.",2015,"février","3"
"Des livres et des revues sur les médias parus en 2014","https://www.acrimed.org/Des-livres-et-des-revues-sur-les-medias-parus-en-2014","Quelques très bonnes, bonnes et moins bonnes lectures.",2015,"février","2"
"France 3 : l’appel au secours d’une rédaction","https://www.acrimed.org/France-3-l-appel-au-secours-d-une-redaction","« France 3 doit vivre, c’est pourquoi nous lançons ce SOS ».",2015,"janvier","30"
"31 janvier : Journée de la critique des médias. Demandez le programme !","https://www.acrimed.org/31-janvier-Journee-de-la-critique-des-medias-Demandez-le-programme","La question des médias, c’est notre affaire !",2015,"janvier","30"
"Un élu du Front national remporte la Star Academy","https://www.acrimed.org/Un-elu-du-Front-national-remporte-la-Star-Academy","Misères du « journalisme politique »",2015,"janvier","29"
"Sur Arte, Jean Quatremer psychanalyse la Grèce","https://www.acrimed.org/Sur-Arte-Jean-Quatremer-psychanalyse-la-Grece","« Grèce, année zéro » : célébration des réformes et analyse des tares grecques.",2015,"janvier","28"
"Liberté de la presse : le préfet interdit ce que Matignon autorise (Montpellier journal)","https://www.acrimed.org/Liberte-de-la-presse-le-prefet-interdit-ce-que-Matignon-autorise-Montpellier","« C’est tout un média qui est ostracisé. »",2015,"janvier","27"
"La question des médias dans Le Monde diplomatique (2014)","https://www.acrimed.org/La-question-des-medias-dans-Le-Monde-diplomatique-2014","Sur le site du Monde diplomatique, articles sur les médias (et alentours) parus en (...)",2015,"janvier","26"
"Doter les rédactions d’un statut juridique","https://www.acrimed.org/Doter-les-redactions-d-un-statut-juridique","Des Conseils de rédaction, quelle que soit leur dénomination.",2015,"janvier","26"
"C’était hier : débats et initiatives (2015)","https://www.acrimed.org/C-etait-hier-debats-et-initiatives-2015","Vendredi 16 janvier, à 20 heures (Lyon) : projection du film Les nouveaux chiens de garde (...)",2015,"janvier","24"
"Philippe Tesson se lave les mains, France Inter et Le Monde fournissent le savon","https://www.acrimed.org/Philippe-Tesson-se-lave-les-mains-France-Inter-et-Le-Monde-fournissent-le-savon","Invité à s’expliquer par Léa Salamé et complaisamment relayé par Le Monde.",2015,"janvier","24"
"Intervention d’Acrimed lors de la soirée « La dissidence, pas le silence », organisée par Fakir","https://www.acrimed.org/Intervention-d-Acrimed-lors-de-la-soiree-La-dissidence-pas-le-silence-organisee","Julien Salingue sur la liberté de la presse après la tuerie de Charlie Hebdo",2015,"janvier","22"
"Le pluralisme de la presse en Paca a-t-il pour nom Tapie ?","https://www.acrimed.org/Le-pluralisme-de-la-presse-en-Paca-a-t-il-pour-nom-Tapie","Bernard Tapie, de La Provence à Nice-Matin, incarne-t-il désormais à lui tout seul le pluralisme (...)",2015,"janvier","20"
"Délire antimusulman de Tesson, prudence de confrères et complaisance de Joffrin","https://www.acrimed.org/Delire-antimusulman-de-Tesson-prudence-de-confreres-et-complaisance-de-Joffrin","« Philippe a fait une boulette ».",2015,"janvier","19"
"Pendant ce temps-là, chez Alain Finkielkraut…","https://www.acrimed.org/Pendant-ce-temps-la-chez-Alain-Finkielkraut","Une stabilité qui rassure… ou pas.",2015,"janvier","17"
"Le Magazine électronique n°152 (janvier 2015)","https://www.acrimed.org/Le-Magazine-electronique-no152-janvier-2015","Si vous ne parvenez pas à lire ce message correctement, cliquez ici. Sommaire 1. Première (...)",2015,"janvier","16"
"Copier-coller bâclé à Libération","https://www.acrimed.org/Copier-coller-bacle-a-Liberation","Copier-coller en série, traduction bâclée et non vérification des sources : Libération vide de sa (...)",2015,"janvier","15"
"Médiacritique(s) n°14 (janvier-mars 2015) : « Médias et extrêmes droites »","https://www.acrimed.org/Mediacritique-s-no14-janvier-mars-2015-Medias-et-extremes-droites","« Médias et extrêmes droites »... et autres merveilles.",2015,"janvier","14"
"Les revues de sciences humaines et sociales (2) : l’évaluation de la recherche et des chercheurs","https://www.acrimed.org/Les-revues-de-sciences-humaines-et-sociales-2-l-evaluation-de-la-recherche-et","Classer « objectivement » les revues et les chercheurs ?",2015,"janvier","9"
"Grèce : la gauche radicale inquiète la presse","https://www.acrimed.org/Grece-la-gauche-radicale-inquiete-la-presse","Pédagogie médiatique pour Grecs irresponsables",2015,"janvier","7"
"31 janvier 2015 : Journée de la critique des médias organisée par Acrimed","https://www.acrimed.org/31-janvier-2015-Journee-de-la-critique-des-medias-organisee-par-Acrimed","La question des médias, c’est notre affaire !",2015,"janvier","6"
"Pour bien démarrer l’année : le meilleur des « Unes » de la PQR en 2014","https://www.acrimed.org/Pour-bien-demarrer-l-annee-le-meilleur-des-Unes-de-la-PQR-en-2014","Ou le pire ?",2015,"janvier","5"
"« De l’air à France Inter » : Soirée « On nous cache tout », le 12 janvier à Paris","https://www.acrimed.org/De-l-air-a-France-Inter-Soiree-On-nous-cache-tout-le-12-janvier-a-Paris","Ces sujets dont on ne parle pas ou peu dans les médias.",2014,"décembre","30"
"Exorcisme et paranormal : Le Parisien croit ceux qui y croient","https://www.acrimed.org/Exorcisme-et-paranormal-Le-Parisien-croit-ceux-qui-y-croient","Tentative d’exorcisme acrimédien sur un cas de possession médiabolique.",2014,"décembre","30"
"Critique des médias sur le web (octobre-novembre 2014)","https://www.acrimed.org/Critique-des-medias-sur-le-web-octobre-novembre-2014","Où il est question de sondomanie, de misère télévisuelle, de racisme et de sexisme, de biais (...)",2014,"décembre","29"
"Camouflage médiatique des élections professionnelles dans la fonction publique","https://www.acrimed.org/Camouflage-mediatique-des-elections-professionnelles-dans-la-fonction-publique","Misère du journalisme d’enquête sociale",2014,"décembre","26"
"La Belgique sous le choc : une syndicaliste froisse quelques vêtements dans une grande surface","https://www.acrimed.org/La-Belgique-sous-le-choc-une-syndicaliste-froisse-quelques-vetements-dans-une","Un peuple ignorant, alcoolique, violent et peu soucieux des libertés d’autrui",2014,"décembre","23"
"Le Hamas : terroriste ? Les partis pris iconographiques des sites d’information","https://www.acrimed.org/Le-Hamas-terroriste-Les-partis-pris-iconographiques-des-sites-d-information","Une vision partielle, voire partiale, de la réalité",2014,"décembre","18"
"Les revues de sciences humaines et sociales (1) : une économie fragile","https://www.acrimed.org/Les-revues-de-sciences-humaines-et-sociales-1-une-economie-fragile","État des lieux d’un secteur en pleine mutation",2014,"décembre","18"
"Night Call : quand Hollywood arme (à son corps défendant ?) la critique des médias","https://www.acrimed.org/Night-Call-quand-Hollywood-arme-a-son-corps-defendant-la-critique-des-medias","Un film qui illustre notre critique (nonobstant les déclarations de certains ses (...)",2014,"décembre","15"
"Marion Maréchal-Le Pen : star pour médias ou femme politique ?","https://www.acrimed.org/Marion-Marechal-Le-Pen-star-pour-medias-ou-femme-politique","Retour sur une certaine dépolitisation du traitement médiatique du congrès du Front (...)",2014,"décembre","11"
